,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
245,,,,TNFR1-induced proapoptotic signaling,,,,,,,SLC-mediated transmembrane transport,tRNA processing,Neurotransmitter release cycle,Adaptive Immune System,Selenoamino acid metabolism,Other interleukin signaling,Pervasive developmental disorders,,Dopamine clearance from the synaptic cleft,N/A
246,,,,TRIF-mediated programmed cell death,,,,,,,Biotin transport and metabolism,Ethanol oxidation,Endogenous sterols,Transcription from mitochondrial promoters,Metabolism of serotonin,Extracellular matrix organization,Loss of function of MECP2 in Rett syndrome,,Norepinephrine Neurotransmitter Release Cycle,N/A
247,,,,Microbial modulation of RIPK1-mediated regulated necrosis,,,,,,,Regulation of the apoptosome activity,Gluconeogenesis,Defective CYP27A1 causes CTX,Metabolism of carbohydrates,Serotonin clearance from the synaptic cleft,Beta-oxidation of very long chain fatty acids,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",,Interconversion of nucleotide di- and triphosphates,N/A
248,,,,TRAIL  signaling,,,,,,,ABC transporters in lipid homeostasis,tRNA modification in the mitochondrion,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Resolution of Abasic Sites (AP sites),Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Retinoid metabolism and transport,PKA activation in glucagon signalling,,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,N/A
249,,,,FasL/ CD95L signaling,,,,,,,Defective HLCS causes multiple carboxylase deficiency,Mitochondrial translation initiation,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Base Excision Repair,Aspartate and asparagine metabolism,Metabolism of fat-soluble vitamins,HDL assembly,,Selenoamino acid metabolism,N/A
250,,,,DDX58/IFIH1-mediated induction of interferon-alpha/beta,,,,,,,Defects in biotin (Btn) metabolism,Resolution of Abasic Sites (AP sites),mitochondrial fatty acid beta-oxidation of saturated fatty acids,DNA Repair,Vitamin B5 (pantothenate) metabolism,Visual phototransduction,PKA activation,,The NLRP1 inflammasome,N/A
251,,,,RIPK1-mediated regulated necrosis,,,,,,,Apoptosis induced DNA fragmentation,Base Excision Repair,MAPK family signaling cascades,Mitochondrial transcription initiation,Glutamate Neurotransmitter Release Cycle,Sensory Perception,CREB1 phosphorylation through the activation of Adenylate Cyclase,,Activation of BAD and translocation to mitochondria ,N/A
252,,,,Toll Like Receptor 3 (TLR3) Cascade,,,,,,,Stimulation of the cell death response by PAK-2p34,DNA Repair,Regulation by c-FLIP,Defects in vitamin and cofactor metabolism,PIP3 activates AKT signaling,Essential pentosuria,Triglyceride metabolism,,Activation of BH3-only proteins,N/A
253,,,,TRIF(TICAM1)-mediated TLR4 signaling ,,,,,,,NADE modulates death signalling,cGMP effects,Dimerization of procaspase-8,Glutamate and glutamine metabolism,Urea cycle,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,PKA-mediated phosphorylation of CREB,,Inflammasomes,N/A
254,,,,MyD88-independent TLR4 cascade ,,,,,,,Apoptotic cleavage of cell adhesion  proteins,Nitric oxide stimulates guanylate cyclase,Caspase activation via Death Receptors in the presence of ligand,cGMP effects,Sulfide oxidation to sulfate,Synthesis of bile acids and bile salts,Triglyceride catabolism,,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",N/A
255,,,,Regulation of TNFR1 signaling,,,,,,,Signaling by Hippo,G alpha (s) signalling events,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,Nitric oxide stimulates guanylate cyclase,Vitamins B6 activation to pyridoxal phosphate,Bile acid and bile salt metabolism,AURKA Activation by TPX2,,Organic anion transporters,N/A
256,,,,TNF signaling,,,,,,,Degradation of the extracellular matrix,Platelet homeostasis,TLR3-mediated TICAM1-dependent programmed cell death,G alpha (s) signalling events,AKT phosphorylates targets in the cytosol,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,Glucagon signaling in metabolic regulation,,Transport of inorganic cations/anions and amino acids/oligopeptides,N/A
257,,,,Toll Like Receptor 4 (TLR4) Cascade,,,,,,,Other interleukin signaling,Creatine metabolism,TNFR1-induced proapoptotic signaling,Platelet homeostasis,Constitutive Signaling by AKT1 E17K in Cancer,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Recruitment of NuMA to mitotic centrosomes,,Factors involved in megakaryocyte development and platelet production,N/A
258,,,,Toll-like Receptor Cascades,,,,,,,Extracellular matrix organization,RHO GTPase cycle,TRIF-mediated programmed cell death,FOXO-mediated transcription of cell death genes,PI3K/AKT Signaling in Cancer,The fatty acid cycling model,ROBO receptors bind AKAP5,,Regulation of Apoptosis,N/A
259,,,,Apoptosis induced DNA fragmentation,,,,,,,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Signaling by Rho GTPases,Microbial modulation of RIPK1-mediated regulated necrosis,Ketone body metabolism,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",The proton buffering model,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,FOXO-mediated transcription of cell death genes,N/A
260,,,,Stimulation of the cell death response by PAK-2p34,,,,,,,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Synthesis of PE,TRAIL  signaling,Synthesis of Ketone Bodies,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",Mitochondrial Uncoupling,Vasopressin regulates renal water homeostasis via Aquaporins,,SUMOylation of transcription cofactors,N/A
261,,,,NADE modulates death signalling,,,,,,,Interactions of Vpr with host cellular proteins,Mitochondrial translation termination,FasL/ CD95L signaling,Utilization of Ketone Bodies,eNOS activation,Interconversion of nucleotide di- and triphosphates,Rap1 signalling,,SUMO E3 ligases SUMOylate target proteins,N/A
262,,,,Apoptotic cleavage of cell adhesion  proteins,,,,,,,"Transport of vitamins, nucleosides, and related molecules",tRNA modification in the nucleus and cytosol,DDX58/IFIH1-mediated induction of interferon-alpha/beta,alpha-linolenic acid (ALA) metabolism,Metabolism of nitric oxide: NOS3 activation and regulation,Propionyl-CoA catabolism,Plasma lipoprotein assembly,,SUMOylation,N/A
263,,,,Signaling by Hippo,,,,,,,Host Interactions of HIV factors,Branched-chain amino acid catabolism,RIPK1-mediated regulated necrosis,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,alpha-linolenic acid (ALA) metabolism,Regulation of pyruvate dehydrogenase (PDH) complex,Aquaporin-mediated transport,,Antigen processing: Ubiquitination & Proteasome degradation,N/A
264,,,,Degradation of the extracellular matrix,,,,,,,HIV Infection,Mitochondrial translation elongation,Toll Like Receptor 3 (TLR3) Cascade,Degradation of cysteine and homocysteine,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Defective MMAA causes methylmalonic aciduria type cblA,Glycolysis,,Class I MHC mediated antigen processing & presentation,N/A
265,,,,"Cell death signalling via NRAGE, NRIF and NADE",,,,,,,Glutamate Neurotransmitter Release Cycle,Vitamin B5 (pantothenate) metabolism,TRIF(TICAM1)-mediated TLR4 signaling ,Sulfur amino acid metabolism,RHO GTPase cycle,Defective MUT causes methylmalonic aciduria mut type,Degradation of GLI1 by the proteasome,,Creatine metabolism,N/A
266,,,,Other interleukin signaling,,,,,,,Urea cycle,"Activation, myristolyation of BID and translocation to mitochondria",MyD88-independent TLR4 cascade ,NOD1/2 Signaling Pathway,Signaling by Rho GTPases,Metabolism of folate and pterines,RET signaling,,Transcription from mitochondrial promoters,N/A
267,,,,p75 NTR receptor-mediated signalling,,,,,,,Influenza Virus Induced Apoptosis,Class I peroxisomal membrane protein import,Regulation of TNFR1 signaling,Displacement of DNA glycosylase by APEX1,Regulation of HSF1-mediated heat shock response,alpha-linolenic acid (ALA) metabolism,Recruitment of mitotic centrosome proteins and complexes,,Mitochondrial transcription initiation,N/A
268,,,,Extracellular matrix organization,,,,,,,Influenza Infection,Ion homeostasis,TNF signaling,Glucose metabolism,Cellular response to heat stress,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Loss of Nlp from mitotic centrosomes,,Vitamin B5 (pantothenate) metabolism,N/A
269,,,,Carnitine metabolism,,,,,,,Carnitine metabolism,Cardiac conduction,Toll Like Receptor 4 (TLR4) Cascade,Antigen processing: Ubiquitination & Proteasome degradation,Activation of NOXA and translocation to mitochondria,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Anchoring of the basal body to the plasma membrane,,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,N/A
270,,,,PPARA activates gene expression,,,,,,,Regulation of Apoptosis,Muscle contraction,Toll-like Receptor Cascades,Class I MHC mediated antigen processing & presentation,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,Selenoamino acid metabolism,Loss of proteins required for interphase microtubule organization from the centrosome,,NR1H2 and NR1H3-mediated signaling,N/A
271,,,,Regulation of lipid metabolism by PPARalpha,,,,,,,Mitophagy,Sphingolipid de novo biosynthesis,Neurotransmitter receptors and postsynaptic signal transmission,Carnitine metabolism,NR1H2 and NR1H3-mediated signaling,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Calmodulin induced events,,Agmatine biosynthesis,N/A
272,,,,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,,,,,,,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Sphingolipid metabolism,SLC-mediated transmembrane transport,Ethanol oxidation,Defective MAOA causes BRUNS,PINK1-PRKN Mediated Mitophagy,Centrosome maturation,,Metabolism of polyamines,N/A
273,,,,Metabolism of nucleotides,,,,,,,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Displacement of DNA glycosylase by APEX1,RAF/MAP kinase cascade,Metabolism of cofactors,Norepinephrine Neurotransmitter Release Cycle,Mitophagy,CaM pathway,,Late endosomal microautophagy,N/A
274,,,,Pyrimidine salvage,,,,,,,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,DDX58/IFIH1-mediated induction of interferon-alpha/beta,MAPK1/MAPK3 signaling,Creatine metabolism,Scavenging by Class A Receptors,Selective autophagy,Degradation of GLI2 by the proteasome,,Chaperone Mediated Autophagy,N/A
275,,,,Nucleotide salvage,,,,,,,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Alpha-oxidation of phytanate,Trafficking of GluR2-containing AMPA receptors,C-type lectin receptors (CLRs),Binding and Uptake of Ligands by Scavenger Receptors,Macroautophagy,GLI3 is processed to GLI3R by the proteasome,,Heme biosynthesis,N/A
276,,,,Coenzyme A biosynthesis,,,,,,,Ketone body metabolism,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Trafficking of AMPA receptors,NRAGE signals death through JNK,Golgi Associated Vesicle Biogenesis,Autophagy,Ca-dependent events,,Metabolism of porphyrins,N/A
277,,,,Vitamin B5 (pantothenate) metabolism,,,,,,,Utilization of Ketone Bodies,RND1 GTPase cycle,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",Biotin transport and metabolism,trans-Golgi Network Vesicle Budding,Regulation of HSF1-mediated heat shock response,CD209 (DC-SIGN) signaling,,Complex I biogenesis,N/A
278,,,,Miro GTPase Cycle,,,,,,,Defective ABCD1 causes ALD,RND2 GTPase cycle,Cell surface interactions at the vascular wall,Activation and oligomerization of BAK protein,Membrane Trafficking,Cellular response to heat stress,DAG and IP3 signaling,,Cytosolic iron-sulfur cluster assembly,N/A
279,,,,RHOT2 GTPase cycle,,,,,,,Synthesis of Ketone Bodies,Regulation by c-FLIP,Neurotransmitter clearance,Defective HLCS causes multiple carboxylase deficiency,Vesicle-mediated transport,MAPK family signaling cascades,ADORA2B mediated anti-inflammatory cytokines production,,Defective HLCS causes multiple carboxylase deficiency,N/A
280,,,,Phenylalanine and tyrosine metabolism,,,,,,,MAPK family signaling cascades,Dimerization of procaspase-8,RAS processing,Defects in biotin (Btn) metabolism,GPCR downstream signalling,Glycine degradation,Hedgehog 'off' state,,Defects in biotin (Btn) metabolism,N/A
281,,,,Phenylalanine metabolism,,,,,,,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,Caspase activation via Death Receptors in the presence of ligand,STAT5 activation downstream of FLT3 ITD mutants,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Organic anion transporters,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",PLC beta mediated events,,Biotin transport and metabolism,N/A
282,,,,Sulfide oxidation to sulfate,,,,,,,NR1H2 and NR1H3-mediated signaling,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,Signaling by FLT3 ITD and TKD mutants,Gluconeogenesis,Transport of inorganic cations/anions and amino acids/oligopeptides,Signaling by Retinoic Acid,FCGR3A-mediated IL10 synthesis,,Defects in vitamin and cofactor metabolism,N/A
283,,,,Degradation of cysteine and homocysteine,,,,,,,Signaling by BRAF and RAF1 fusions,TLR3-mediated TICAM1-dependent programmed cell death,FLT3 signaling in disease,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Methylation,RHO GTPase cycle,G-protein mediated events,,Carnitine metabolism,N/A
284,,,,Sulfur amino acid metabolism,,,,,,,Glycerophospholipid biosynthesis,TNFR1-induced proapoptotic signaling,Enzymatic degradation of Dopamine by monoamine oxidase,"Base-Excision Repair, AP Site Formation",Potential therapeutics for SARS,Signaling by Rho GTPases,Mitotic Prometaphase,,Pregnenolone biosynthesis,N/A
285,,,,Urea cycle,,,,,,,Phospholipid metabolism,TRIF-mediated programmed cell death,Enzymatic degradation of dopamine by COMT,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,SARS-CoV Infections,RAF/MAP kinase cascade,Post NMDA receptor activation events,,Metabolism of steroid hormones,N/A
286,,,,Defective RIPK1-mediated regulated necrosis,,,,,,,RAF/MAP kinase cascade,Microbial modulation of RIPK1-mediated regulated necrosis,Dopamine clearance from the synaptic cleft,Synthesis of bile acids and bile salts,Vitamins,MAPK1/MAPK3 signaling,Regulation of insulin secretion,,,N/A
287,,,,"Activation, myristolyation of BID and translocation to mitochondria",,,,,,,MAPK1/MAPK3 signaling,TRAIL  signaling,Miro GTPase Cycle,Bile acid and bile salt metabolism,Vitamin D (calciferol) metabolism,Oncogenic MAPK signaling,"Plasma lipoprotein assembly, remodeling, and clearance",,,N/A
288,,,,CASP8 activity is inhibited,,,,,,,Glycine degradation,FasL/ CD95L signaling,Mitochondrial translation elongation,Cytochrome P450 - arranged by substrate type,Pyruvate metabolism,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Regulation of PLK1 Activity at G2/M Transition,,,N/A
289,,,,CLEC7A/inflammasome pathway,,,,,,,PINK1-PRKN Mediated Mitophagy,RIPK1-mediated regulated necrosis,Mitochondrial translation,Coenzyme A biosynthesis,Class I peroxisomal membrane protein import,RAF activation,Leishmania parasite growth and survival,,,N/A
